Data;Regional;UC;Familias1;Produtos;Producao;Unidade;V.Total;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;1800;Kg;7200;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;2500;Kg;3000;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;400;Unidade;3000;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;20;Unidade;250;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;1800;Kg;4800;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;300;Kg;1080;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;120;Unidade;750;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;58;Unidade;600;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;300;Kg;480;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;20;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;360;Kg;720;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Acai;850;Kg;1700;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;100;Unidade;750;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;600;Kg;1200;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;15;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Acai;5000;Kg;5000;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;180;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Castanha;5;Muda;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;600;Kg;700;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;180;Kg;480;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;180;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;480;Kg;720;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;1200;Kg;3600;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;120;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;1080;Kg;3600;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;15;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;1800;Kg;3600;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;300;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;120;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;120;Kg;0;;;
